uid,user_name,rating,date,text,option_name,help_count,perfume,moisture
28683525,조*희 ,,2017.08.06,,"피지오겔  데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,아주 만족해요,
28667365,김*한 ,,2017.08.06,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,,
28666819,김*정 ,,2017.08.06,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,아주 만족해요,예상만큼 좋아요
28666670,심*진 ,,2017.08.06,,"피지오겔  데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,,
28663327,황*혜 ,,2017.08.06,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,,
28651888,최*혜 ,,2017.08.06,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,,
28640351,채*진 ,,2017.08.06,,[피지오겔] DMT 크림  150ml,0,,
28632479,P*G ,,2017.08.05,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림 , 150ml",0,,
28618460,정*지 ,,2017.08.05,"
                    
                        매번 사용하는 제품인데 저렴하게 잘 삿습니당
                    
                ","피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,아주 만족해요,예상만큼 좋아요
28608506,강*진 ,,2017.08.05,"
                    
                        몇 년째 쓰는 제품이예요~
다른 기초화장품 없이 피지오겔크링과 선크림으로
피부가 좋아졌 어요~~ 여름이면 항상 얼굴이  따끔거렸는데 
그것도 다 없어지고~  암튼 전 화장품은 이거 하나만발라요~
자극도 없고 완전 좋은 제품입니다~~
                    
                ","피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,아주 만족해요,예상만큼 좋아요
28606411,이*영 ,,2017.08.05,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,,
28602762,조*성 ,,2017.08.05,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,,
28593138,신*욱 ,,2017.08.05,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,아주 만족해요,
28584972,정*훈 ,,2017.08.05,"
                    
                        조금 기름진느낌이 없지않아있어요
                    
                ","피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,,
28584914,조*라 ,,2017.08.05,"
                    
                        가격부담이 되도 계속 쓰고 있는 피지오겔 크림
귀찮을때 이거 하나만 바르고 자도 다음날 화장 잘먹고 얼굴에서 광나요
전 밤엔 듬뿍 아침엔 적당량만 발라요(집순이일땐 듬뿍)
건성 민감성 피부에 좋아요 무향에 자극없고 보습력 좋아요
로켓배송 덕분에 빠르게 쓸 수 있어서 좋았어요
                    
                ","피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,아주 만족해요,예상만큼 좋아요
28581673,안*영 ,,2017.08.04,"
                    
                        촉촉해서 수분크림대신바르는데 좋아요
                    
                ","피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,,
28567308,윤*나 ,,2017.08.04,"
                    
                        배송빨라 좋네요
                    
                ","피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,아주 만족해요,예상만큼 좋아요
28566764,방*경 ,,2017.08.04,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,,
28558781,남*진 ,,2017.08.04,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,아주 만족해요,예상만큼 좋아요
28558375,이* ,,2017.08.04,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,,
28558261,이* ,,2017.08.04,,"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",0,,
